[2023-10-22 21:00:01] Start End
[2023-10-22 21:03:57] SG_M2HEART 收到心跳！
[2023-10-22 21:03:59] SG_M2HEART 收到心跳！
[2023-10-22 21:04:00] SG_M2HEART 收到心跳！
[2023-10-22 21:04:02] SG_M2HEART 收到心跳！
[2023-10-22 21:04:04] SG_M2HEART 收到心跳！
[2023-10-22 21:04:05] SG_M2HEART 收到心跳！
[2023-10-22 21:04:07] SG_M2HEART 收到心跳！
[2023-10-22 21:04:08] SG_M2HEART 收到心跳！
[2023-10-22 21:04:10] SG_M2HEART 收到心跳！
[2023-10-22 21:04:11] SG_M2HEART 收到心跳！
[2023-10-22 21:04:13] SG_M2HEART 收到心跳！
[2023-10-22 21:04:14] SG_M2HEART 收到心跳！
[2023-10-22 21:04:16] SG_M2HEART 收到心跳！
[2023-10-22 21:04:17] SG_M2HEART 收到心跳！
[2023-10-22 21:04:19] SG_M2HEART 收到心跳！
[2023-10-22 21:04:20] SG_M2HEART 收到心跳！
[2023-10-22 21:04:22] SG_M2HEART 收到心跳！
[2023-10-22 21:04:23] SG_M2HEART 收到心跳！
[2023-10-22 21:04:25] SG_M2HEART 收到心跳！
[2023-10-22 21:04:26] SG_M2HEART 收到心跳！
[2023-10-22 21:04:28] SG_M2HEART 收到心跳！
[2023-10-22 21:04:29] SG_M2HEART 收到心跳！
[2023-10-22 21:04:31] SG_M2HEART 收到心跳！
[2023-10-22 21:04:32] SG_M2HEART 收到心跳！
[2023-10-22 21:04:34] SG_M2HEART 收到心跳！
[2023-10-22 21:04:35] SG_M2HEART 收到心跳！
[2023-10-22 21:04:37] SG_M2HEART 收到心跳！
[2023-10-22 21:04:38] SG_M2HEART 收到心跳！
[2023-10-22 21:04:40] SG_M2HEART 收到心跳！
[2023-10-22 21:04:41] SG_M2HEART 收到心跳！
[2023-10-22 21:04:43] SG_M2HEART 收到心跳！
[2023-10-22 21:04:44] SG_M2HEART 收到心跳！
[2023-10-22 21:04:46] SG_M2HEART 收到心跳！
[2023-10-22 21:04:48] SG_M2HEART 收到心跳！
[2023-10-22 21:04:49] SG_M2HEART 收到心跳！
[2023-10-22 21:04:51] SG_M2HEART 收到心跳！
[2023-10-22 21:04:52] SG_M2HEART 收到心跳！
[2023-10-22 21:04:54] SG_M2HEART 收到心跳！
[2023-10-22 21:04:55] SG_M2HEART 收到心跳！
[2023-10-22 21:04:57] SG_M2HEART 收到心跳！
[2023-10-22 21:04:58] SG_M2HEART 收到心跳！
[2023-10-22 21:05:00] SG_M2HEART 收到心跳！
[2023-10-22 21:05:01] SG_M2HEART 收到心跳！
[2023-10-22 21:05:03] SG_M2HEART 收到心跳！
[2023-10-22 21:05:04] SG_M2HEART 收到心跳！
[2023-10-22 21:05:06] SG_M2HEART 收到心跳！
[2023-10-22 21:05:07] SG_M2HEART 收到心跳！
[2023-10-22 21:05:09] SG_M2HEART 收到心跳！
[2023-10-22 21:05:10] SG_M2HEART 收到心跳！
[2023-10-22 21:05:12] SG_M2HEART 收到心跳！
[2023-10-22 21:05:13] SG_M2HEART 收到心跳！
[2023-10-22 21:05:15] SG_M2HEART 收到心跳！
[2023-10-22 21:05:16] SG_M2HEART 收到心跳！
[2023-10-22 21:05:18] SG_M2HEART 收到心跳！
[2023-10-22 21:05:19] SG_M2HEART 收到心跳！
[2023-10-22 21:05:21] SG_M2HEART 收到心跳！
[2023-10-22 21:05:22] SG_M2HEART 收到心跳！
[2023-10-22 21:05:24] SG_M2HEART 收到心跳！
[2023-10-22 21:05:25] SG_M2HEART 收到心跳！
[2023-10-22 21:05:27] SG_M2HEART 收到心跳！
[2023-10-22 21:05:28] SG_M2HEART 收到心跳！
[2023-10-22 21:05:30] SG_M2HEART 收到心跳！
[2023-10-22 21:05:31] SG_M2HEART 收到心跳！
[2023-10-22 21:05:33] SG_M2HEART 收到心跳！
[2023-10-22 21:05:34] SG_M2HEART 收到心跳！
[2023-10-22 21:05:36] SG_M2HEART 收到心跳！
[2023-10-22 21:05:38] SG_M2HEART 收到心跳！
[2023-10-22 21:05:39] SG_M2HEART 收到心跳！
[2023-10-22 21:05:41] SG_M2HEART 收到心跳！
[2023-10-22 21:05:42] SG_M2HEART 收到心跳！
[2023-10-22 21:05:44] SG_M2HEART 收到心跳！
[2023-10-22 21:05:45] SG_M2HEART 收到心跳！
[2023-10-22 21:05:47] SG_M2HEART 收到心跳！
[2023-10-22 21:05:48] SG_M2HEART 收到心跳！
[2023-10-22 21:05:50] SG_M2HEART 收到心跳！
[2023-10-22 21:05:51] SG_M2HEART 收到心跳！
[2023-10-22 21:05:53] SG_M2HEART 收到心跳！
[2023-10-22 21:05:54] SG_M2HEART 收到心跳！
[2023-10-22 21:05:56] SG_M2HEART 收到心跳！
[2023-10-22 21:05:57] SG_M2HEART 收到心跳！
[2023-10-22 21:05:59] SG_M2HEART 收到心跳！
[2023-10-22 21:06:00] SG_M2HEART 收到心跳！
[2023-10-22 21:06:02] SG_M2HEART 收到心跳！
[2023-10-22 21:06:03] SG_M2HEART 收到心跳！
[2023-10-22 21:06:05] SG_M2HEART 收到心跳！
[2023-10-22 21:06:06] SG_M2HEART 收到心跳！
[2023-10-22 21:06:08] SG_M2HEART 收到心跳！
[2023-10-22 21:06:09] SG_M2HEART 收到心跳！
[2023-10-22 21:06:11] SG_M2HEART 收到心跳！
[2023-10-22 21:06:12] SG_M2HEART 收到心跳！
[2023-10-22 21:06:14] SG_M2HEART 收到心跳！
[2023-10-22 21:06:15] SG_M2HEART 收到心跳！
[2023-10-22 21:06:17] SG_M2HEART 收到心跳！
[2023-10-22 21:06:18] SG_M2HEART 收到心跳！
[2023-10-22 21:06:20] SG_M2HEART 收到心跳！
[2023-10-22 21:06:21] SG_M2HEART 收到心跳！
[2023-10-22 21:06:23] SG_M2HEART 收到心跳！
[2023-10-22 21:06:24] SG_M2HEART 收到心跳！
[2023-10-22 21:06:26] SG_M2HEART 收到心跳！
[2023-10-22 21:06:28] SG_M2HEART 收到心跳！
[2023-10-22 21:06:29] SG_M2HEART 收到心跳！
[2023-10-22 21:06:31] SG_M2HEART 收到心跳！
[2023-10-22 21:06:32] SG_M2HEART 收到心跳！
[2023-10-22 21:06:34] SG_M2HEART 收到心跳！
[2023-10-22 21:06:35] SG_M2HEART 收到心跳！
[2023-10-22 21:06:37] SG_M2HEART 收到心跳！
[2023-10-22 21:06:38] SG_M2HEART 收到心跳！
[2023-10-22 21:06:40] SG_M2HEART 收到心跳！
[2023-10-22 21:06:41] SG_M2HEART 收到心跳！
[2023-10-22 21:06:43] SG_M2HEART 收到心跳！
[2023-10-22 21:06:44] SG_M2HEART 收到心跳！
[2023-10-22 21:06:46] SG_M2HEART 收到心跳！
[2023-10-22 21:06:47] SG_M2HEART 收到心跳！
[2023-10-22 21:06:49] SG_M2HEART 收到心跳！
[2023-10-22 21:06:50] SG_M2HEART 收到心跳！
[2023-10-22 21:06:52] SG_M2HEART 收到心跳！
[2023-10-22 21:06:53] SG_M2HEART 收到心跳！
[2023-10-22 21:06:55] SG_M2HEART 收到心跳！
[2023-10-22 21:06:56] SG_M2HEART 收到心跳！
[2023-10-22 21:06:58] SG_M2HEART 收到心跳！
[2023-10-22 21:06:59] SG_M2HEART 收到心跳！
[2023-10-22 21:07:01] SG_M2HEART 收到心跳！
[2023-10-22 21:07:02] SG_M2HEART 收到心跳！
[2023-10-22 21:07:04] SG_M2HEART 收到心跳！
[2023-10-22 21:07:05] SG_M2HEART 收到心跳！
[2023-10-22 21:07:07] SG_M2HEART 收到心跳！
[2023-10-22 21:07:08] SG_M2HEART 收到心跳！
[2023-10-22 21:07:10] SG_M2HEART 收到心跳！
[2023-10-22 21:07:11] SG_M2HEART 收到心跳！
[2023-10-22 21:07:13] SG_M2HEART 收到心跳！
[2023-10-22 21:07:15] SG_M2HEART 收到心跳！
[2023-10-22 21:07:16] SG_M2HEART 收到心跳！
[2023-10-22 21:07:18] SG_M2HEART 收到心跳！
[2023-10-22 21:07:19] SG_M2HEART 收到心跳！
[2023-10-22 21:07:21] SG_M2HEART 收到心跳！
[2023-10-22 21:07:22] SG_M2HEART 收到心跳！
[2023-10-22 21:07:24] SG_M2HEART 收到心跳！
[2023-10-22 21:07:25] SG_M2HEART 收到心跳！
[2023-10-22 21:07:27] SG_M2HEART 收到心跳！
[2023-10-22 21:07:28] SG_M2HEART 收到心跳！
[2023-10-22 21:07:30] SG_M2HEART 收到心跳！
[2023-10-22 21:07:31] SG_M2HEART 收到心跳！
[2023-10-22 21:07:33] SG_M2HEART 收到心跳！
[2023-10-22 21:07:34] SG_M2HEART 收到心跳！
[2023-10-22 21:07:36] SG_M2HEART 收到心跳！
[2023-10-22 21:07:37] SG_M2HEART 收到心跳！
[2023-10-22 21:07:39] SG_M2HEART 收到心跳！
[2023-10-22 21:07:40] SG_M2HEART 收到心跳！
[2023-10-22 21:07:42] SG_M2HEART 收到心跳！
[2023-10-22 21:07:43] SG_M2HEART 收到心跳！
[2023-10-22 21:07:45] SG_M2HEART 收到心跳！
[2023-10-22 21:07:46] SG_M2HEART 收到心跳！
[2023-10-22 21:07:48] SG_M2HEART 收到心跳！
[2023-10-22 21:07:49] SG_M2HEART 收到心跳！
[2023-10-22 21:07:51] SG_M2HEART 收到心跳！
[2023-10-22 21:07:52] SG_M2HEART 收到心跳！
[2023-10-22 21:07:54] SG_M2HEART 收到心跳！
[2023-10-22 21:07:55] SG_M2HEART 收到心跳！
[2023-10-22 21:07:57] SG_M2HEART 收到心跳！
[2023-10-22 21:07:58] SG_M2HEART 收到心跳！
[2023-10-22 21:08:00] SG_M2HEART 收到心跳！
[2023-10-22 21:08:02] SG_M2HEART 收到心跳！
[2023-10-22 21:08:03] SG_M2HEART 收到心跳！
[2023-10-22 21:08:05] SG_M2HEART 收到心跳！
[2023-10-22 21:08:06] SG_M2HEART 收到心跳！
[2023-10-22 21:08:08] SG_M2HEART 收到心跳！
[2023-10-22 21:08:09] SG_M2HEART 收到心跳！
[2023-10-22 21:08:11] SG_M2HEART 收到心跳！
[2023-10-22 21:08:12] SG_M2HEART 收到心跳！
[2023-10-22 21:08:14] SG_M2HEART 收到心跳！
[2023-10-22 21:08:15] SG_M2HEART 收到心跳！
[2023-10-22 21:08:17] SG_M2HEART 收到心跳！
[2023-10-22 21:08:18] SG_M2HEART 收到心跳！
[2023-10-22 21:08:20] SG_M2HEART 收到心跳！
[2023-10-22 21:08:21] SG_M2HEART 收到心跳！
[2023-10-22 21:08:23] SG_M2HEART 收到心跳！
[2023-10-22 21:08:24] SG_M2HEART 收到心跳！
[2023-10-22 21:08:26] SG_M2HEART 收到心跳！
[2023-10-22 21:08:27] SG_M2HEART 收到心跳！
[2023-10-22 21:08:29] SG_M2HEART 收到心跳！
[2023-10-22 21:08:30] SG_M2HEART 收到心跳！
[2023-10-22 21:08:32] SG_M2HEART 收到心跳！
[2023-10-22 21:08:33] SG_M2HEART 收到心跳！
[2023-10-22 21:08:35] SG_M2HEART 收到心跳！
[2023-10-22 21:08:36] SG_M2HEART 收到心跳！
[2023-10-22 21:08:38] SG_M2HEART 收到心跳！
[2023-10-22 21:08:39] SG_M2HEART 收到心跳！
[2023-10-22 21:08:41] SG_M2HEART 收到心跳！
[2023-10-22 21:08:42] SG_M2HEART 收到心跳！
[2023-10-22 21:08:44] SG_M2HEART 收到心跳！
[2023-10-22 21:08:45] SG_M2HEART 收到心跳！
[2023-10-22 21:08:47] SG_M2HEART 收到心跳！
[2023-10-22 21:08:49] SG_M2HEART 收到心跳！
[2023-10-22 21:08:50] SG_M2HEART 收到心跳！
[2023-10-22 21:08:52] SG_M2HEART 收到心跳！
[2023-10-22 21:08:53] SG_M2HEART 收到心跳！
[2023-10-22 21:08:55] SG_M2HEART 收到心跳！
[2023-10-22 21:08:56] SG_M2HEART 收到心跳！
[2023-10-22 21:08:58] SG_M2HEART 收到心跳！
[2023-10-22 21:08:59] SG_M2HEART 收到心跳！
[2023-10-22 21:09:01] SG_M2HEART 收到心跳！
[2023-10-22 21:09:02] SG_M2HEART 收到心跳！
[2023-10-22 21:09:04] SG_M2HEART 收到心跳！
[2023-10-22 21:09:05] SG_M2HEART 收到心跳！
[2023-10-22 21:09:07] SG_M2HEART 收到心跳！
[2023-10-22 21:09:08] SG_M2HEART 收到心跳！
[2023-10-22 21:09:10] SG_M2HEART 收到心跳！
[2023-10-22 21:09:11] SG_M2HEART 收到心跳！
[2023-10-22 21:09:13] SG_M2HEART 收到心跳！
[2023-10-22 21:09:14] SG_M2HEART 收到心跳！
[2023-10-22 21:09:16] SG_M2HEART 收到心跳！
[2023-10-22 21:09:17] SG_M2HEART 收到心跳！
[2023-10-22 21:09:19] SG_M2HEART 收到心跳！
[2023-10-22 21:09:20] SG_M2HEART 收到心跳！
[2023-10-22 21:09:22] SG_M2HEART 收到心跳！
[2023-10-22 21:09:23] SG_M2HEART 收到心跳！
[2023-10-22 21:09:25] SG_M2HEART 收到心跳！
[2023-10-22 21:09:26] SG_M2HEART 收到心跳！
[2023-10-22 21:09:28] SG_M2HEART 收到心跳！
[2023-10-22 21:09:29] SG_M2HEART 收到心跳！
[2023-10-22 21:09:31] SG_M2HEART 收到心跳！
[2023-10-22 21:09:32] SG_M2HEART 收到心跳！
[2023-10-22 21:09:34] SG_M2HEART 收到心跳！
[2023-10-22 21:09:35] SG_M2HEART 收到心跳！
[2023-10-22 21:09:37] SG_M2HEART 收到心跳！
[2023-10-22 21:09:39] SG_M2HEART 收到心跳！
[2023-10-22 21:09:40] SG_M2HEART 收到心跳！
[2023-10-22 21:09:42] SG_M2HEART 收到心跳！
[2023-10-22 21:09:43] SG_M2HEART 收到心跳！
[2023-10-22 21:09:45] SG_M2HEART 收到心跳！
[2023-10-22 21:09:46] SG_M2HEART 收到心跳！
[2023-10-22 21:09:48] SG_M2HEART 收到心跳！
[2023-10-22 21:09:49] SG_M2HEART 收到心跳！
[2023-10-22 21:09:51] SG_M2HEART 收到心跳！
[2023-10-22 21:09:52] SG_M2HEART 收到心跳！
[2023-10-22 21:09:54] SG_M2HEART 收到心跳！
[2023-10-22 21:09:55] SG_M2HEART 收到心跳！
[2023-10-22 21:09:57] SG_M2HEART 收到心跳！
[2023-10-22 21:09:58] SG_M2HEART 收到心跳！
[2023-10-22 21:10:00] SG_M2HEART 收到心跳！
[2023-10-22 21:10:01] SG_M2HEART 收到心跳！
[2023-10-22 21:10:03] SG_M2HEART 收到心跳！
[2023-10-22 21:10:04] SG_M2HEART 收到心跳！
[2023-10-22 21:10:06] SG_M2HEART 收到心跳！
[2023-10-22 21:10:07] SG_M2HEART 收到心跳！
[2023-10-22 21:10:09] SG_M2HEART 收到心跳！
[2023-10-22 21:10:10] SG_M2HEART 收到心跳！
[2023-10-22 21:10:12] SG_M2HEART 收到心跳！
[2023-10-22 21:10:13] SG_M2HEART 收到心跳！
[2023-10-22 21:10:15] SG_M2HEART 收到心跳！
[2023-10-22 21:10:16] SG_M2HEART 收到心跳！
[2023-10-22 21:10:18] SG_M2HEART 收到心跳！
[2023-10-22 21:10:19] SG_M2HEART 收到心跳！
[2023-10-22 21:10:21] SG_M2HEART 收到心跳！
[2023-10-22 21:10:22] SG_M2HEART 收到心跳！
[2023-10-22 21:10:24] SG_M2HEART 收到心跳！
[2023-10-22 21:10:26] SG_M2HEART 收到心跳！
[2023-10-22 21:10:27] SG_M2HEART 收到心跳！
[2023-10-22 21:10:29] SG_M2HEART 收到心跳！
[2023-10-22 21:10:30] SG_M2HEART 收到心跳！
[2023-10-22 21:10:32] SG_M2HEART 收到心跳！
[2023-10-22 21:10:33] SG_M2HEART 收到心跳！
[2023-10-22 21:10:35] SG_M2HEART 收到心跳！
[2023-10-22 21:10:36] SG_M2HEART 收到心跳！
[2023-10-22 21:10:38] SG_M2HEART 收到心跳！
[2023-10-22 21:10:39] SG_M2HEART 收到心跳！
[2023-10-22 21:10:41] SG_M2HEART 收到心跳！
[2023-10-22 21:10:42] SG_M2HEART 收到心跳！
[2023-10-22 21:10:44] SG_M2HEART 收到心跳！
[2023-10-22 21:10:45] SG_M2HEART 收到心跳！
[2023-10-22 21:10:47] SG_M2HEART 收到心跳！
[2023-10-22 21:10:48] SG_M2HEART 收到心跳！
[2023-10-22 21:10:50] SG_M2HEART 收到心跳！
[2023-10-22 21:10:51] SG_M2HEART 收到心跳！
[2023-10-22 21:10:53] SG_M2HEART 收到心跳！
[2023-10-22 21:10:54] SG_M2HEART 收到心跳！
[2023-10-22 21:10:56] SG_M2HEART 收到心跳！
[2023-10-22 21:10:57] SG_M2HEART 收到心跳！
[2023-10-22 21:10:59] SG_M2HEART 收到心跳！
[2023-10-22 21:11:00] SG_M2HEART 收到心跳！
[2023-10-22 21:11:02] SG_M2HEART 收到心跳！
[2023-10-22 21:11:03] SG_M2HEART 收到心跳！
[2023-10-22 21:11:05] SG_M2HEART 收到心跳！
[2023-10-22 21:11:06] SG_M2HEART 收到心跳！
[2023-10-22 21:11:08] SG_M2HEART 收到心跳！
[2023-10-22 21:11:09] SG_M2HEART 收到心跳！
[2023-10-22 21:11:11] SG_M2HEART 收到心跳！
[2023-10-22 21:11:12] SG_M2HEART 收到心跳！
[2023-10-22 21:11:14] SG_M2HEART 收到心跳！
[2023-10-22 21:11:16] SG_M2HEART 收到心跳！
[2023-10-22 21:11:17] SG_M2HEART 收到心跳！
[2023-10-22 21:11:19] SG_M2HEART 收到心跳！
[2023-10-22 21:11:20] SG_M2HEART 收到心跳！
[2023-10-22 21:11:22] SG_M2HEART 收到心跳！
[2023-10-22 21:11:23] SG_M2HEART 收到心跳！
[2023-10-22 21:11:25] SG_M2HEART 收到心跳！
[2023-10-22 21:11:26] SG_M2HEART 收到心跳！
[2023-10-22 21:11:28] SG_M2HEART 收到心跳！
[2023-10-22 21:11:29] SG_M2HEART 收到心跳！
[2023-10-22 21:11:31] SG_M2HEART 收到心跳！
[2023-10-22 21:11:32] SG_M2HEART 收到心跳！
[2023-10-22 21:11:34] SG_M2HEART 收到心跳！
[2023-10-22 21:11:35] SG_M2HEART 收到心跳！
[2023-10-22 21:11:37] SG_M2HEART 收到心跳！
[2023-10-22 21:11:38] SG_M2HEART 收到心跳！
[2023-10-22 21:11:40] SG_M2HEART 收到心跳！
[2023-10-22 21:11:41] SG_M2HEART 收到心跳！
[2023-10-22 21:11:43] SG_M2HEART 收到心跳！
[2023-10-22 21:11:44] SG_M2HEART 收到心跳！
